現地コード,銘柄名(English),銘柄名,市場,業種,取扱
CPB,CAMPBELL SOUP COMPANY,キャンベルスープ,NYSE,食品・飲料,○
CPRT,COPART INC,コパート,NASDAQ,小売,○
CPST,CAPSTONE TURBINE CORPORATION,キャプストーン・タービン,NASDAQ,その他製造,○
CRC,CALIFORNIA RESOURCES CORP,カリフォルニア・リソーシス,NYSE,石油・ガス・パイプライン,○
CRED,iShares Core US Credit Bond,iシェアーズ コア米国クレジット債券 ETF,NASDAQ,その他,○
CREE,"CREE, INC.",クリー,NASDAQ,半導体関連,○
CRI,CARTER'S INC,カーターズ,NYSE,その他製造,○
CRM,"SALESFORCE.COM, INC.",セールスフォース・ドットコム,NYSE,ソフトウェア・ソフトウェアサービス,○
CRR,CARBO Ceramics Inc,カーボ・セラミックス,NYSE,その他製造,○
CRUS,CIRRUS LOGIC INC,シーラス・ロジック,NASDAQ,半導体関連,○
CS,CREDIT SUISS-ADR,クレディ・スイス・グループ,NYSE,金融（銀行）,○
CSCO,"CISCO SYSTEMS, INC.",シスコシステムズ,NASDAQ,ネットワーク・ネットワークセキュリティ,○
CSGS,"CSG SYSTEMS INTERNATIONAL, INC.",ＣＳＧシステムズ・インターナショナル,NASDAQ,情報処理サービス,○
CSJ,iShares 1‐3 Year Credit Bond ETF,iシェアーズ 米国クレジット債券 1-3年 ETF,NASDAQ,その他,○
CSL,CARLISLE COS INC,カーライル,NYSE,複合企業,○
CSOD,CORNERSTONE ONDEMAND INC,コーナーストーン　・オンデマンド,NASDAQ,ソフトウェア・ソフトウェアサービス,○
CSX,CSX CORP,ＣＳＸ,NASDAQ,運輸,○
CTAS,CINTAS CORP,シンタス,NASDAQ,その他,○
CTIC,CTI BIOPHARMA CORP ,CTIバイオファーマ,NASDAQ,医薬品（バイオテクノロジー）,○
CTL,"CENTURYLINK, INC.",センチュリーリンク,NYSE,通信関連,○
CTLT,CATALENT,キャタレント,NYSE,その他製造,○
CTRP,"CTRIP.COM INTERNATIONAL, LTD.",シートリップ・ドット・コム・インターナショナル,NASDAQ,サービス,○
