現地コード,銘柄名(English),銘柄名,市場,業種,取扱
EGY,VAALCO ENERGY,VAALCO ENERGY,NYSE,石油 & ガス探査 / 生産,-
EHC,ENCMPS HLTH CRP,ENCMPS HLTH CRP,NYSE,ヘルスケア施設 & サービス,-
EHI,WA GL HGH INC FD,WA GL HGH INC FD,NYSE,クローズドエンド型投資信託,-
EHIC,EHI CAR SERVICES,EHI CAR SERVICES,NYSE,鉄道 & 陸運 & 海運 - 旅客,-
EHT,ETN VNC HGH INCM,ETN VNC HGH INCM,NYSE,--,-
EHTH,EHEALTH,EHEALTH,NASDAQ,保険 - 総合保険,-
EIDO,iShares MSCI INDONESIA INVESTABLE MARKET INDEX FUND,iシェアーズ MSCI インドネシア ETF,NYSE Arca,その他,○
EIDX,EIDOS THERAPTCS,EIDOS THERAPTCS,NASDAQ,バイオテクノロジー & メディカル リサーチ,-
EIG,EMPLOYERS HLDG,EMPLOYERS HLDG,NYSE,保険 - 損害 & 災害,-
EIGI,ENDURAE INTL GRP,ENDURAE INTL GRP,NASDAQ,IT サービス & コンサルティング,-
EIGR,EIGER BIOPHARMAC,EIGER BIOPHARMAC,NASDAQ,バイオテクノロジー & メディカル リサーチ,-
EIRL,ISHS MSCI IRELND,ISHS MSCI IRELND,NYSE Arca,--,-
EIS,ISHS MSCI ISRAEL,ISHS MSCI ISRAEL,NYSE Arca,--,-
EIX,EDISON INTL,エジソン・インターナショナル,NYSE,電機・電力・エネルギー,○
EKAR,INV NXTGN VC TCH,INV NXTGN VC TCH,NYSE Arca,--,-
EKSO,EKSO BIONICS HLD,EKSO BIONICS HLD,NASDAQ,医療機器 / 医療用品 & ディストリビューター,-
EL,ESTEE LAUDER,エスティ　ローダー,NYSE,トイレタリー・ヘルスケア,○
ELD,WisdomTree Emerging Markets Local Debt Fund,ウィズダムツリー  新興国現地通貨建債券ファンド,NYSE Arca,その他,○
ELF,E.L.F BEAUTY INC,E.L.F BEAUTY INC,NYSE,小売 - その他専門,-
ELGX,ENDOLOGIX INC,ENDOLOGIX INC,NASDAQ,医療機器 / 医療用品 & ディストリビューター,-
ELLI,ELLIE MAE INC,ELLIE MAE INC,NYSE,ソフトウェア,-
ELND,ELND,ELND,NYSE,--,-
ELON,Echelon Corption,Echelon Corption,NASDAQ,IT サービス & コンサルティング,-
ELOX,ELOXX PHARMCUTCL,ELOXX PHARMCUTCL,NASDAQ,バイオテクノロジー & メディカル リサーチ,-
ELP,COPEL,COPEL,NYSE,公益企業 - 電力,-
ELS,EQTY LFSTYLE PRP,EQTY LFSTYLE PRP,NYSE,住宅 REIT,-
ELSE,ELECTRO-SENS,ELECTRO-SENS,NASDAQ,産業機械 & 装置,-
ELTK,ELTEK LTD,ELTEK LTD,NASDAQ,半導体,-
